datetime,open,high,low,close,volume
2026-01-15 09:01:00,138800,138900,138700,138800,118586
2026-01-15 09:02:00,138700,139000,138700,138900,119612
2026-01-15 09:03:00,138900,139000,138800,139000,78817
2026-01-15 09:04:00,138900,139200,138900,138900,134406
2026-01-15 09:05:00,138900,139300,138900,139300,100283
2026-01-15 09:06:00,139250,139500,139200,139450,124424
2026-01-15 09:07:00,139450,139700,139400,139600,85716
2026-01-15 09:08:00,139600,139700,139500,139500,89391
2026-01-15 09:09:00,139600,140000,139500,139800,145961
2026-01-15 09:10:00,139800,139900,139500,139700,95296
2026-01-15 09:11:00,139700,139800,139500,139600,84051
2026-01-15 09:12:00,139550,139800,139550,139700,67934
2026-01-15 09:13:00,139700,139800,139700,139700,68580
2026-01-15 09:14:00,139700,139900,139700,139800,74501
2026-01-15 09:15:00,139800,139800,139600,139700,94300
2026-01-15 09:16:00,139700,139800,139600,139700,68296
2026-01-15 09:17:00,139700,139700,139400,139400,79987
2026-01-15 09:18:00,139400,139600,139400,139600,80888
2026-01-15 09:19:00,139600,139800,139500,139700,51793
2026-01-15 09:20:00,139700,139700,139400,139500,66097
2026-01-15 09:21:00,139600,139600,139400,139500,60940
2026-01-15 09:22:00,139400,139500,139300,139400,51655
2026-01-15 09:23:00,139400,139400,139300,139300,64434
2026-01-15 09:24:00,139300,139500,139200,139400,63750
2026-01-15 09:25:00,139400,139600,139400,139600,36387
2026-01-15 09:26:00,139500,139600,139500,139600,37462
2026-01-15 09:27:00,139600,139800,139500,139700,58377
2026-01-15 09:28:00,139800,140000,139700,139800,93225
2026-01-15 09:29:00,139800,140000,139800,139900,70801
2026-01-15 09:30:00,139900,140400,139900,140350,251341
2026-01-15 09:31:00,140350,140700,140300,140600,171911
2026-01-15 09:32:00,140600,140600,140100,140200,101030
2026-01-15 09:33:00,140300,140400,140200,140300,83840
2026-01-15 09:34:00,140350,140600,140300,140500,76994
2026-01-15 09:35:00,140450,140600,140400,140500,64086
2026-01-15 09:36:00,140500,140600,140400,140500,75027
